"Item, Item type, Unit","Barcode"
"Dress, Clothes, pcs","2202283705"
"Dress, Clothes, pcs","2202283713"
"Dress, Clothes, pcs","2202283739"
"Trousers, Clothes, pcs",""
"Shirt, Clothes, pcs",""
"Boots, Shoes, pcs","4820024700016"
"Boots, Shoes, pcs","978020137962"
"High shoes, Shoes, pcs",""
"Bound Dress+Shirt, Clothes, pcs",""
"Bound Dress+Trousers, Clothes, pcs",""
"Service, Service, pcs",""
"Router, Equipment, pcs",""
"Bag, Bags, pcs",""
"Scarf, Clothes, pcs",""
"Chewing gum, Chewing gum, pcs",""
"Skittles, Candy TR, pcs",""
"Total",""
