"Unbundling 1 dated 07.09.2020 18:23:12","","","","",""
"Document registrations records","","","","",""
"Register  ""R4011 Free stocks""","","","","",""
"","Record type","Period","Resources","Dimensions",""
"","","","Quantity","Store","Item key"
"","Receipt","07.09.2020 18:23:12","2","Store 01","S/Yellow"
"","Receipt","07.09.2020 18:23:12","2","Store 01","XS/Blue"
"","Receipt","07.09.2020 18:23:12","4","Store 01","L/Green"
"","Receipt","07.09.2020 18:23:12","4","Store 01","M/Brown"
"","Expense","07.09.2020 18:23:12","2","Store 01","Dress/A-8"
